name,CIK,location_untrusted_source,name_worker_1,name_worker_2,worker_agreement_exact,worker agreement,domain_worker_1,domain_worker_2,website_domain,worker_agreement_exact,worker agreement,city_worker_1,city_worker_2,city,worker_agreement_exact,worker agreement,province_worker_1,province_worker_2,province,worker_agreement_exact,worker agreement,country_worker_1,country_worker_2,country,worker_agreement_exact,worker agreement,employees_worker_1,employees_worker_2,employees_worker_2_integer,employees,worker_agreement_exact,worker agreement,worker_agreement_approximate,serial_number_worker_1,serial_number_worker_2,serial_number,worker_agreement_exact,worker agreement,source_worker_1,matching_year,matching_cik,source_worker_2,matching_year,matching_cik,worker_agreement_exact,worker agreement,source,source_serial_number,confidence
CVS HEALTH CORPORATION,64803,"Woonsocket, Rhode Island",CVS HEALTH CORPORATION,CVS HEALTH CORPORATION,1,1,cvshealth.com,cvs.com,cvshealth.com,0,0,Woonsocket,Woonsocket,Woonsocket,1,1,Rhode Island,Rhode Island,Rhode Island,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,300000,300000,300000,100000,0,1,0,05-0494040,05-0494040,05-0494040,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/64803/000006480323000009/cvs-20221231.htm,77,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/64803/000006480323000009/cvs-20221231.htm,77,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/64803/000006480323000009/cvs-20221231.htm,,0.9
"D.R. Horton, Inc.",882184,"Arlington, Texas","D.R. Horton, Inc.","D.R. Horton, Inc.",1,1,drhorton.com,drhorton.com,drhorton.com,1,1,Arlington,Arlington,Arlington,1,1,Texas,Texas,Texas,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,,13237,13237,10000,0,0,0,75-2386963,75-2386963,75-2386963,0,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/882184/000088218422000184/dhi-20220930.htm,78,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/882184/000088218422000184/dhi-20220930.htm,78,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/882184/000088218422000184/dhi-20220930.htm,,0.9
DANAHER CORPORATION,313616,"Washington, D.C.",DANAHER CORPORATION,DANAHER CORPORATION,1,1,danaher.com,danaher.com,danaher.com,1,1,Washington D.C,Washington,Washington D.C,0,0,,D.C.,,0,0,United States of America (the),United States of America (the),United States of America (the),1,1,81000,81000,81000,10000,0,1,1,59-1995548,59-1995548,59-1995548,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/313616/000031361623000087/dhr-20221231.htm,78,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/313616/000031361623000087/dhr-20221231.htm,78,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/313616/000031361623000087/dhr-20221231.htm,,0.9
"DARDEN RESTAURANTS, INC.",940944,"Orlando, Florida","DARDEN RESTAURANTS, INC.","DARDEN RESTAURANTS, INC.",1,1,darden.com,darden.com,darden.com,1,1,Orlando,Orlando,Orlando,1,1,Florida,Florida,Florida,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,178956,,0,100000,0,0,0,59-3305930,59-3305930,59-3305930,0,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/0000940944/000094094422000042/dri-20220529.htm,82,53,https://www.sec.gov/ix?doc=/Archives/edgar/data/940944/000094094422000042/dri-20220529.htm,78,49,0,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/940944/000094094422000042/dri-20220529.htm,,0.9
DAVITA INC.,927066,"Denver, Colorado",DAVITA INC.,DAVITA INC.,1,1,davita.com,davita.com,davita.com,1,1,Denver,Denver,Denver,1,1,Colorado,Colorado,Colorado,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,,70000,70000,10000,0,0,0,51-0354549,51-0354549,51-0354549,0,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/927066/000092706623000011/dva-20221231.htm,78,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/927066/000092706623000011/dva-20221231.htm,78,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/927066/000092706623000011/dva-20221231.htm,,0.9
DEERE & COMPANY,315189,"Moline, Illinois",DEERE & COMPANY,DEERE & COMPANY,1,1,deere.com,deere.com,deere.com,1,1,Moline,Moline,Moline,1,1,Illinois,Illinois,Illinois,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,82200,82200,82200,10000,0,1,1,36-2382580,36-2382580,36-2382580,0,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/315189/000155837022018703/de-20221030x10k.htm,77,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/315189/000155837022018703/de-20221030x10k.htm,77,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/315189/000155837022018703/de-20221030x10k.htm,,0.9
"DELTA AIR LINES, INC.",27904,"Atlanta, Georgia","DELTA AIR LINES, INC.","DELTA AIR LINES, INC.",1,1,delta.com,delta.com,delta.com,1,1,Atlanta,Atlanta,Atlanta,1,1,Georgia,Georgia,Georgia,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,95000,25000,25000,10000,0,0,1,58-0218548,58-0218548,58-0218548,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/27904/000002790423000003/dal-20221231.htm,77,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/27904/000002790423000003/dal-20221231.htm,77,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/27904/000002790423000003/dal-20221231.htm,,0.9
DENTSPLY SIRONA Inc.,818479,"Charlotte, North Carolina",DENTSPLY SIRONA Inc.,DENTSPLY SIRONA Inc.,1,1,dentsplysirona.com,dentsplysirona.com,dentsplysirona.com,1,1,Charlotte,Charlotte,Charlotte,1,1,North Carolina,North Carolina,North Carolina,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,,15000,15000,10000,0,0,0,39-1434669,39-1434669,39-1434669,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/818479/000081847923000017/xray-20221231.htm,79,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/818479/000081847923000017/xray-20221231.htm,79,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/818479/000081847923000017/xray-20221231.htm,,0.9
DEVON ENERGY CORPORATION,1090012,"Oklahoma City, Oklahoma",DEVON ENERGY CORPORATION,DEVON ENERGY CORPORATION,1,1,devonenergy.com,devonenergy.com,devonenergy.com,1,1,Oklahoma City,Oklahoma City,Oklahoma City,1,1,Oklahoma,Oklahoma,Oklahoma,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,,1800,1800,1000,0,0,0,73-1567067,73-1567067,73-1567067,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1090012/000095017023002852/dvn-20221231.htm,79,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/1090012/000095017023002852/dvn-20221231.htm,79,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1090012/000095017023002852/dvn-20221231.htm,,0.9
"DEXCOM, INC.",1093557,"San Diego, California","DEXCOM, INC.","DEXCOM, INC.",1,1,dexcom.com,dexcom.com,dexcom.com,1,1,San Diego,San Diego,San Diego,1,1,California,California,California,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,,7600,7600,1000,0,0,0,33-0857544,33-0857544,33-0857544,0,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1093557/000109355723000024/dxcm-20221231.htm,80,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/1093557/000109355723000024/dxcm-20221231.htm,80,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1093557/000109355723000024/dxcm-20221231.htm,,0.9
"Diamondback Energy, Inc.",1539838,"Midland, Texas","Diamondback Energy, Inc.","Diamondback Energy, Inc.",0,1,ir.diamondbackenergy.com,diamondbackenergy.com,diamondbackenergy.com,0,0,Midland,Midland,Midland,1,1,Texas,Texas,Texas,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,972,972,972,100,1,1,1,45-4502447,45-4502447,45-4502447,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1539838/000153983823000022/fang-20221231.htm,80,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/1539838/000153983823000022/fang-20221231.htm,80,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1539838/000153983823000022/fang-20221231.htm,,0.9
"DIGITAL REALTY TRUST, INC.",1297996,"Austin, Texas","DIGITAL REALTY TRUST, INC.","DIGITAL REALTY TRUST, INC.",1,1,digitalrealty.com,digitalrealty.com,digitalrealty.com,1,1,Austin,Austin,Austin,1,1,Texas,Texas,Texas,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,3412,3412,3412,1000,0,1,1,26-0081711,26-0081711,26-0081711,0,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1297996/000155837023002087/dlr-20221231x10k.htm,79,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/1297996/000155837023002087/dlr-20221231x10k.htm,79,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1297996/000155837023002087/dlr-20221231x10k.htm,,0.9
DISCOVER FINANCIAL SERVICES,1393612,"Riverwoods, Illinois",DISCOVER FINANCIAL SERVICES,DISCOVER FINANCIAL SERVICES,1,1,discover.com,discover.com,discover.com,1,1,Riverwoods,,,0,0,Illinois,Illinois,Illinois,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,20200,20200,20200,10000,0,1,1,36-2517428,36-2517428,36-2517428,0,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1393612/000139361223000007/dfs-20221231.htm,79,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/1393612/000139361223000007/dfs-20221231.htm,79,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1393612/000139361223000007/dfs-20221231.htm,,0.9
The Walt Disney Company,1744489,"Burbank, California",THE WALT DISNEY COMPANY,The Walt Disney Company,0,1,thewaltdisneycompany.com,disney.com,disney.com,0,0,Burbank,Burbank,Burbank,1,1,California,California,California,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,,220000,220000,100000,0,0,0,83-0940635,83-0940635,83-0940635,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1744489/000119312523014219/d431948d10ka.htm,#VALUE!,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/1744489/000174448922000213/dis-20221001.htm,79,49,0,0,https://www.sec.gov/ix?doc=/Archives/edgar/data/1744489/000174448922000213/dis-20221001.htm,,0.9
DOLLAR GENERAL CORPORATION,29534,"Goodlettsville, Tennessee",DOLLAR GENERAL CORPORATION,DOLLAR GENERAL CORPORATION,1,1,dollargeneral.com,dollargeneral.com,dollargeneral.com,1,1,Goodlettsville,Goodlettsville,Goodlettsville,1,1,Tennessee,Tennessee,Tennessee,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,,163000,163000,100000,0,0,0,61-0502302,61-0502302,61-0502302,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/0000029534/000155837022003921/dg-20220128x10k.htm,81,54,https://www.sec.gov/ix?doc=/Archives/edgar/data/0000029534/000155837022003921/dg-20220128x10k.htm,81,54,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/0000029534/000155837022003921/dg-20220128x10k.htm,,0.9
"DOLLAR TREE, INC.",935703,"Chesapeake, Virginia","DOLLAR TREE, INC.","DOLLAR TREE, INC",0,0,dollartree.com,dollartree.com,dollartree.com,1,1,Chesapeake,Chesapeake,Chesapeake,1,1,Virginia,Virginia,Virginia,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,210565,210500,210500,100000,0,0,0,26-2018846,26-2018846,26-2018846,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/0000935703/000093570322000020/dltr-20220129.htm,83,53,https://www.sec.gov/ix?doc=/Archives/edgar/data/0000935703/000093570322000020/dltr-20220129.htm,83,53,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/0000935703/000093570322000020/dltr-20220129.htm,,0.9
"DOMINION ENERGY, INC.",715957,"Richmond, Virginia","DOMINION ENERGY, INC.","DOMINION ENERGY, INC",0,0,dominionenergy.com,dominionenergy.com,dominionenergy.com,1,1,Richmond,Richmond,Richmond,1,1,Virginia,Virginia,Virginia,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,17200,17200,17200,10000,0,1,1,54-1229715,54-1229715,54-1229715,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/715957/000095017023003287/d-20221231.htm,76,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/715957/000095017023003287/d-20221231.htm,76,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/715957/000095017023003287/d-20221231.htm,,0.9
"Domino’s Pizza, Inc.",1286681,"Ann Arbor, Michigan","Domino’s Pizza, Inc.","Domino’s Pizza, Inc.",1,1,dominos.com,dominos.com,dominos.com,1,1,Ann Arbor,Ann Arbor,Ann Arbor,1,1,Michigan,Michigan,Michigan,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,11000,13500,13500,10000,0,0,1,38-2511577,38-2511577,38-2511577,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/0001286681/000095017022002426/dpz-20220102.htm,82,52,https://www.sec.gov/ix?doc=/Archives/edgar/data/0001286681/000095017022002426/dpz-20220102.htm,82,52,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/0001286681/000095017022002426/dpz-20220102.htm,,0.9
Dover Corporation,29905,"Downers Grove, Illinois",Dover Corporation,Dover Corporation,1,1,dovercorporation.com,dovercorporation.com,dovercorporation.com,1,1,Downers Grove,,,0,0,Illinois,Illinois,Illinois,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,25000,25000,25000,10000,0,1,1,53-0257888,53-0257888,53-0257888,0,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/29905/000002990523000008/dov-20221231.htm,77,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/29905/000002990523000008/dov-20221231.htm,77,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/29905/000002990523000008/dov-20221231.htm,,0.9
Dow Inc.,1751788,"Midland, Michigan",Dow Inc.,Dow Inc.,1,1,dow.com,dow.com,dow.com,1,1,Midland,Midland,Midland,1,1,Michigan,Michigan,Michigan,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,37800,37800,37800,10000,0,1,1,30-1128146,30-1128146,30-1128146,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1751788/000175178823000014/dow-20221231.htm,79,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/1751788/000175178823000014/dow-20221231.htm,79,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1751788/000175178823000014/dow-20221231.htm,,0.9
DTE Energy Company,936340,"Detroit, Michigan",DTE Energy Company,DTE Energy Company,1,1,dteenergy.com,dteenergy.com,dteenergy.com,1,1,Detroit,Detroit,Detroit,1,1,Michigan,Michigan,Michigan,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,10250,10250,10250,10000,0,1,1,38-3217752,38-3217752,38-3217752,0,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/936340/000093634023000073/dte-20221231.htm,78,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/936340/000093634023000073/dte-20221231.htm,78,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/936340/000093634023000073/dte-20221231.htm,,0.9
DUKE ENERGY CORPORATION,1326160,"Charlotte, North Carolina",DUKE ENERGY CORPORATION,DUKE ENERGY CORPORATION,1,1,duke-energy.com,duke-energy.com,duke-energy.com,1,1,Charlotte,Charlotte,Charlotte,1,1,North Carolina,North Carolina,North Carolina,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,27859,27859,27859,10000,0,1,1,20-2777218,20-2777218,20-2777218,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1326160/000132616023000073/duk-20221231.htm,79,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/1326160/000132616023000073/duk-20221231.htm,79,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1326160/000132616023000073/duk-20221231.htm,,0.9
"DUPONT DE NEMOURS, INC.",1666700,"Wilmington, Delaware","DUPONT DE NEMOURS, INC.","DUPONT DE NEMOURS, INC.",1,1,dupont.com,dupont.com,dupont.com,1,1,Wilmington,Wilmington,Wilmington,1,1,Delaware,Delaware,Delaware,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,23000,23000,23000,10000,0,1,1,81-1224539,81-1224539,81-1224539,0,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1666700/000166670023000008/dd-20221231.htm,78,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/1666700/000166670023000008/dd-20221231.htm,78,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1666700/000166670023000008/dd-20221231.htm,,0.9
DXC TECHNOLOGY COMPANY,1688568,"Tysons Corner, Virginia",DXC TECHNOLOGY COMPANY,DXC TECHNOLOGY COMPANY,1,1,dxc.com,dxc.com,dxc.com,1,1,Ashburn,Tysons Corner,Tysons Corner,0,0,Virginia,Virginia,Virginia,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,130000,130000,130000,100000,0,1,0,61-1800317,61-1800317,61-1800317,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/0001688568/000168856822000027/dxc-20220331.htm,82,52,https://www.sec.gov/ix?doc=/Archives/edgar/data/0001688568/000168856822000027/dxc-20220331.htm,82,52,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/0001688568/000168856822000027/dxc-20220331.htm,,0.9
EASTMAN CHEMICAL COMPANY,915389,"Kingsport, Tennessee",EASTMAN CHEMICAL COMPANY,EASTMAN CHEMICAL COMPANY,1,1,eastman.com,eastman.com,eastman.com,1,1,Kingsport,Kingsport,Kingsport,1,1,Tennessee,Tennessee,Tennessee,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,14500,14500,14500,10000,0,1,1,62-1539359,62-1539359,62-1539359,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/0000915389/000091538923000015/emn-20221231.htm,82,53,https://www.sec.gov/ix?doc=/Archives/edgar/data/915389/000091538923000015/emn-20221231.htm,78,49,0,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/915389/000091538923000015/emn-20221231.htm,,0.9
EATON CORPORATION plc,1551182,"Dublin, Ireland",EATON CORPORATION plc,EATON CORPORATION plc,1,1,eaton.com,eaton.com,eaton.com,1,1,Dublin 4,Dublin,Dublin,0,0,,Ireland,,0,0,Ireland,Ireland,Ireland,1,1,92000,92000,92000,10000,0,1,1,98-1059235,98-1059235,512978,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1551182/000155118223000004/etn-20221231.htm,79,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/1551182/000155118223000004/etn-20221231.htm,79,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1551182/000155118223000004/etn-20221231.htm,https://core.cro.ie/e-commerce/company/search/545816,0.9
eBay Inc.,1065088,"San Jose, California",eBay Inc.,eBay Inc.,1,1,ebayinc.com,ebay.com,ebay.com,0,0,San Jose,San Jose,San Jose,1,1,California,California,California,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,11600,11600,11600,10000,0,1,1,77-0430924,77-0430924,77-0430924,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1065088/000106508823000006/ebay-20221231.htm,80,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/1065088/000106508823000006/ebay-20221231.htm,80,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1065088/000106508823000006/ebay-20221231.htm,,0.9
ECOLAB INC.,31462,"Saint Paul, Minnesota",ECOLAB INC.,ECOLAB INC.,1,1,ecolab.com,ecolab.com,ecolab.com,1,1,St. Paul,Saint Paul,Saint Paul,0,0,Minnesota,Minnesota,Minnesota,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,47000,47000,47000,10000,0,1,1,41-0231510,41-0231510,41-0231510,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/31462/000155837023001969/ecl-20221231x10k.htm,77,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/31462/000155837023001969/ecl-20221231x10k.htm,77,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/31462/000155837023001969/ecl-20221231x10k.htm,,0.9
Edison International,827052,"Rosemead, California",EDISON INTERNATIONAL,Edison International,0,1,edison.com,edisoninvestor.com,edisoninvestor.com,0,0,Rosemead,Rosemead,Rosemead,1,1,California,California,California,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,,13388,13388,10000,0,0,0,95-4137452,95-4137452,95-4137452,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/827052/000082705223000010/eix-20221231x10k.htm,78,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/827052/000082705223000010/eix-20221231x10k.htm,78,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/827052/000082705223000010/eix-20221231x10k.htm,,0.9
EDWARDS LIFESCIENCES CORPORATION,1099800,"Irvine, California",EDWARDS LIFESCIENCES CORPORATION,EDWARDS LIFESCIENCES CORPORATION,1,1,edwards.com,edwards.com,edwards.com,1,1,Irvine,Irvine,Irvine,1,1,California,California,California,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,17300,17300,17300,10000,0,1,1,36-4316614,36-4316614,36-4316614,0,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1099800/000109980023000005/ew-20221231.htm,78,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/1099800/000109980023000005/ew-20221231.htm,78,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1099800/000109980023000005/ew-20221231.htm,,0.9
ELECTRONIC ARTS INC.,712515,"Redwood City, California",ELECTRONIC ARTS INC.,ELECTRONIC ARTS INC.,1,1,ea.com,ea.com,ea.com,1,1,Redwood,Redwood City,Redwood City,0,0,California,California,California,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,12900,12900,12900,10000,0,1,1,94-2838567,94-2838567,94-2838567,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/0000712515/000071251522000011/ea-20220331.htm,81,53,https://www.sec.gov/ix?doc=/Archives/edgar/data/0000712515/000071251522000011/ea-20220331.htm,81,53,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/0000712515/000071251522000011/ea-20220331.htm,,0.9
"ELEVANCE HEALTH, INC.",1156039,"Indianapolis, Indiana","ELEVANCE HEALTH, INC.","ELEVANCE HEALTH, INC.",1,1,elevancehealth.com,elevancehealth.com,elevancehealth.com,1,1,Indianapolis,Indianapolis,Indianapolis,1,1,Indiana,Indiana,Indiana,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,102300,102300,102300,100000,0,1,0,35-2145715,35-2145715,35-2145715,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1156039/000115603923000007/elv-20221231.htm,79,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/1156039/000115603923000007/elv-20221231.htm,79,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1156039/000115603923000007/elv-20221231.htm,,0.9
ELI LILLY AND COMPANY,59478,"Indianapolis, Indiana",ELI LILLY AND COMPANY,ELI LILLY AND COMPANY,1,1,lilly.com,lilly.com,lilly.com,1,1,Indianapolis,Indianapolis,Indianapolis,1,1,Indiana,Indiana,Indiana,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,39000,21000,21000,10000,0,0,1,35-0470950,35-0470950,35-0470950,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/0000059478/000005947823000082/lly-20221231.htm,82,54,https://www.sec.gov/ix?doc=/Archives/edgar/data/59478/000005947823000082/lly-20221231.htm,77,49,0,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/59478/000005947823000082/lly-20221231.htm,,0.9
EMERSON ELECTRIC CO.,32604,"Ferguson, Missouri",EMERSON ELECTRIC CO.,EMERSON ELECTRIC CO.,1,1,emerson.com,emerson.com,emerson.com,1,1,St. Louis,Ferguson,Ferguson,0,0,Missouri,Missouri,Missouri,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,,85500,85500,10000,0,0,0,43-0259330,43-0259330,43-0259330,0,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/32604/000003260422000041/emr-20220930.htm,77,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/32604/000003260422000041/emr-20220930.htm,77,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/32604/000003260422000041/emr-20220930.htm,,0.9
"Enphase Energy, Inc.",1463101,"Fremont, California","Enphase Energy, Inc.","Enphase Energy, Inc.",1,1,enphase.com,enphase.com,enphase.com,1,1,Fremont,Fremont,Fremont,1,1,California,California,California,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,2821,2821,2821,1000,0,1,1,20-4645388,20-4645388,20-4645388,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1463101/000146310123000025/enph-20221231.htm,80,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/1463101/000146310123000025/enph-20221231.htm,80,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1463101/000146310123000025/enph-20221231.htm,,0.9
ENTERGY CORPORATION,65984,"New Orleans, Louisiana",ENTERGY CORPORATION,ENTERGY CORPORATION,1,1,,entergy.com,entergy.com,0,0,New Orleans,New Orleans,New Orleans,1,1,Louisiana,Louisiana,Louisiana,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,11707,11707,11707,10000,0,1,1,72-1229752,72-1229752,72-1229752,0,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/65984/000006598423000014/etr-20221231.htm,77,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/65984/000006598423000014/etr-20221231.htm,77,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/65984/000006598423000014/etr-20221231.htm,,0.9
"EOG RESOURCES, INC.",821189,"Houston, Texas","EOG RESOURCES, INC.","EOG RESOURCES, INC.",1,1,eogresources.com,eogresources.com,eogresources.com,1,1,Houston,Houston,Houston,1,1,Texas,Texas,Texas,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,2850,2850,2850,1000,0,1,1,47-0684736,47-0684736,47-0684736,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/821189/000082118923000015/eog-20221231.htm,78,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/821189/000082118923000015/eog-20221231.htm,78,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/821189/000082118923000015/eog-20221231.htm,,0.9
"EPAM SYSTEMS, INC.",1352010,"Newtown, Pennsylvania","EPAM SYSTEMS, INC.","EPAM SYSTEMS, INC.",1,1,epam.com,epam.com,epam.com,1,1,Newtown,Newtown,Newtown,1,1,Pennsylvania,Pennsylvania,Pennsylvania,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,59300,59300,59300,10000,0,1,1,22-3536104,22-3536104,22-3536104,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1352010/000135201023000013/epam-20221231.htm,80,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/1352010/000135201023000013/epam-20221231.htm,80,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1352010/000135201023000013/epam-20221231.htm,,0.9
