name,CIK,location_untrusted_source,name_worker_1,name_worker_2,worker_agreement_exact,worker agreement,domain_worker_1,domain_worker_2,website_domain,worker_agreement_exact,worker agreement,city_worker_1,city_worker_2,city,worker_agreement_exact,worker agreement,province_worker_1,province_worker_2,province,worker_agreement_exact,worker agreement,country_worker_1,country_worker_2,country,worker_agreement_exact,worker agreement,employees_worker_1,employees_worker_2,employees_worker_2_integer,employees,worker_agreement_exact,worker agreement,worker_agreement_approximate,serial_number_worker_1,serial_number_worker_2,serial_number,worker_agreement_exact,worker agreement,source_worker_1,matching_year,matching_cik,source_worker_2,matching_year,matching_cik,worker_agreement_exact,worker agreement,source,source_serial_number,confidence
THE AES CORPORATION,874761,"Arlington, Virginia",THE AES CORPORATION,THE AES CORPORATION,1,1,aes.com,aes.com,aes.com,1,1,Arlington,Arlington,Arlington,1,1,Virginia,Virginia,Virginia,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,9100,9100,9100,1000,0,1,1,54-1163725,54-1163725,54-1163725,0,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/0000874761/000087476123000010/aes-20221231.htm,82,53,https://www.sec.gov/ix?doc=/Archives/edgar/data/874761/000087476123000010/aes-20221231.htm,78,49,0,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/874761/000087476123000010/aes-20221231.htm,,0.9
Aflac Incorporated,4977,"Columbus, Georgia",Aflac Incorporated,Aflac Incorporated,1,1,aflac.com,aflac.com,aflac.com,1,1,Columbus,Columbus,Columbus,1,1,Georgia,Georgia,Georgia,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,12882,110000,110000,10000,0,0,0,58-1167100,58-1167100,58-1167100,0,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/0000004977/000000497723000055/afl-20221231.htm,82,55,https://www.sec.gov/ix?doc=/Archives/edgar/data/4977/000000497723000055/afl-20221231.htm,76,49,0,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/4977/000000497723000055/afl-20221231.htm,,0.9
"Agilent Technologies, Inc.",1090872,"Santa Clara, California","Agilent Technologies, Inc.","Agilent Technologies, Inc.",1,1,agilent.com,agilent.com,agilent.com,1,1,Santa Clara,Santa Clara,Santa Clara,1,1,California,California,California,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,18000,18100,18100,10000,0,0,1,77-0518772,77-0518772,77-0518772,0,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1090872/000109087222000026/a-20221031.htm,77,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/1090872/000109087222000026/a-20221031.htm,77,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1090872/000109087222000026/a-20221031.htm,,0.9
"AIR PRODUCTS AND CHEMICALS, INC.",2969,"Allentown, Pennsylvania","AIR PRODUCTS AND CHEMICALS, INC.","AIR PRODUCTS AND CHEMICALS, INC.",1,1,airproducts.com,airproducts.com,airproducts.com,1,1,Allentown,Allentown,Allentown,1,1,Pennsylvania,Pennsylvania,Pennsylvania,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,21900,21900,21900,10000,0,1,1,23-1274455,23-1274455,23-1274455,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/2969/000000296922000054/apd-20220930.htm,76,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/2969/000000296922000054/apd-20220930.htm,76,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/2969/000000296922000054/apd-20220930.htm,,0.9
"Akamai Technologies, Inc.",1086222,"Cambridge, Massachusetts","Akamai Technologies, Inc.","Akamai Technologies, Inc.",1,1,akamai.com,akamai.com,akamai.com,1,1,Cambridge,Cambridge,Cambridge,1,1,Massachusetts,Massachusetts,Massachusetts,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,9800,9800,9800,1000,0,1,1,04-3432319,04-3432319,04-3432319,0,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/0001086222/000108622223000078/akam-20221231.htm,83,52,https://www.sec.gov/ix?doc=/Archives/edgar/data/1086222/000108622223000078/akam-20221231.htm,80,49,0,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1086222/000108622223000078/akam-20221231.htm,,0.9
"ALASKA AIR GROUP, INC.",766421,"SeaTac, Washington","ALASKA AIR GROUP, INC.","ALASKA AIR GROUP, INC.",1,1,alaskaair.com,alaskaair.com,alaskaair.com,1,1,Seattle,SeaTac,Seattle,0,0,Washington,Washington,Washington,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,25469,25469,25469,10000,0,1,1,91-1292054,91-1292054,91-1292054,0,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/766421/000076642123000009/alk-20221231.htm,78,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/766421/000076642123000009/alk-20221231.htm,78,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/766421/000076642123000009/alk-20221231.htm,,0.9
ALBEMARLE CORPORATION,915913,"Charlotte, North Carolina",ALBEMARLE CORPORATION,ALBEMARLE CORPORATION,1,1,albemarle.com,albemarle.com,albemarle.com,1,1,Charlotte,Charlotte,Charlotte,1,1,North Carolina,North Carolina,North Carolina,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,7400,7400,7400,1000,0,1,1,54-1692118,54-1692118,54-1692118,0,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/915913/000091591323000039/alb-20221231.htm,78,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/915913/000091591323000039/alb-20221231.htm,78,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/915913/000091591323000039/alb-20221231.htm,,0.9
"ALEXANDRIA REAL ESTATE EQUITIES, INC.",1035443,"Pasadena, California","ALEXANDRIA REAL ESTATE EQUITIES, INC.","ALEXANDRIA REAL ESTATE EQUITIES, INC.",1,1,are.com,are.com,are.com,1,1,Pasadena,Pasadena,Pasadena,1,1,California,California,California,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,593,593,593,100,1,1,1,95-4502084,95-4502084,95-4502084,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1035443/000103544323000099/are-20221231.htm,79,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/1035443/000103544323000099/are-20221231.htm,79,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1035443/000103544323000099/are-20221231.htm,,0.9
"ALIGN TECHNOLOGY, INC.",1097149,"Tempe, Arizona","ALIGN TECHNOLOGY, INC.","ALIGN TECHNOLOGY, INC.",1,1,aligntech.com,aligntech.com,aligntech.com,1,1,Tempe,Tempe,Tempe,1,1,Arizona,Arizona,Arizona,1,1,United States of America (the),United States of America (the),United States of America (the),1,1,23165,23165,23165,10000,0,1,1,94-3267295,94-3267295,94-3267295,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1097149/000109714923000013/algn-20221231.htm,80,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/1097149/000109714923000013/algn-20221231.htm,80,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1097149/000109714923000013/algn-20221231.htm,,0.9
ALLEGION PUBLIC LIMITED COMPANY,1579241,"New York City, New York",ALLEGION PUBLIC LIMITED COMPANY,ALLEGION PUBLIC LIMITED COMPANY,1,1,allegion.com,allegion.com,allegion.com,1,1,Dublin,New York,Dublin,0,0,,New York,,0,0,Ireland,United States of America (the),Ireland,0,0,12300,12300,12300,10000,0,1,1,98-1108930,98-1108930,98-1108930,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1579241/000157924123000006/alle-20221231.htm,80,49,https://www.sec.gov/ix?doc=/Archives/edgar/data/1579241/000157924123000006/alle-20221231.htm,80,49,1,1,https://www.sec.gov/ix?doc=/Archives/edgar/data/1579241/000157924123000006/alle-20221231.htm,,0.9
